Designator,Mid X,Mid Y,Rotation,Layer
C1,192.25,-67.475,90.0,top
C10,179.5988,-72.3544,90.0,top
C11,180.31,-72.3544,90.0,top
C12,181.0212,-72.3544,90.0,top
C13,187.0964,-95.2098,270.0,top
C14,178.0748,-72.3332,270.0,top
C15,177.3636,-72.3332,270.0,top
C16,176.6524,-72.312,270.0,top
C17,175.9204,-72.3286,270.0,top
C18,182.5452,-72.359,270.0,top
C19,181.834,-72.359,270.0,top
C2,184.5,-67.475,270.0,top
C20,181.1172,-91.0336,180.0,top
C21,220.8276,-80.0206,270.0,top
C22,200.315,-75.184,180.0,top
C23,200.061,-77.724,0.0,top
C24,210.9618,-74.0664,0.0,top
C25,210.9618,-74.7776,0.0,top
C26,220.9292,-76.1894,270.0,top
C27,220.9292,-87.9856,270.0,top
C28,220.8276,-83.8306,270.0,top
C29,220.309,-92.2528,180.0,top
C3,190.075,-70.73,180.0,top
C30,210.7844,-81.8896,0.0,top
C31,210.8048,-82.8548,0.0,top
C32,210.9064,-85.852,0.0,top
C33,210.9064,-86.9696,0.0,top
C34,210.7032,-89.8652,0.0,top
C35,211.1862,-90.932,0.0,top
C36,200.0102,-85.7504,0.0,top
C37,200.0102,-86.7156,0.0,top
C38,200.0504,-89.7636,0.0,top
C39,200.086,-91.0336,0.0,top
C4,173.175,-66.75,180.0,top
C40,200.061,-83.1596,0.0,top
C41,200.1118,-78.8924,0.0,top
C42,200.406,-74.2696,180.0,top
C43,210.9064,-77.6016,0.0,top
C44,210.9064,-78.4352,0.0,top
C45,200.0504,-81.8388,0.0,top
C5,186.475,-70.75,0.0,top
C6,186.309,-84.709,90.0,top
C7,165.925,-94.25,0.0,top
C8,163.0,-94.5494,270.0,top
C9,178.8876,-72.3544,90.0,top
D1,197.585,-90.35,180.0,top
D10,202.985,-90.35,180.0,top
D11,208.385,-90.35,180.0,top
D12,208.385,-86.35,180.0,top
D13,208.385,-82.35,180.0,top
D14,208.385,-78.35,180.0,top
D15,208.385,-74.35,180.0,top
D16,213.585,-74.35,180.0,top
D17,213.585,-78.35,180.0,top
D18,213.585,-82.35,180.0,top
D19,213.585,-86.35,180.0,top
D2,197.585,-86.35,180.0,top
D20,213.585,-90.35,180.0,top
D21,218.785,-90.35,180.0,top
D22,218.785,-86.35,180.0,top
D23,218.585,-82.35,180.0,top
D24,218.785,-78.35,180.0,top
D25,218.785,-74.35,180.0,top
D26,180.25,-78.0,90.0,top
D3,197.585,-82.35,180.0,top
D4,197.585,-78.35,180.0,top
D5,197.755,-74.35,180.0,top
D6,202.985,-74.35,180.0,top
D7,202.985,-78.35,180.0,top
D8,202.985,-82.35,180.0,top
D9,202.985,-86.35,180.0,top
J1,165.8,-60.07,270.0,top
J2,218.51,-97.69,90.0,top
J3,191.85,-49.46,270.0,top
J4,198.24,-97.69,90.0,top
J5,215.83,-49.5,270.0,top
J6,227.0,-83.63,0.0,top
J7,226.9236,-72.39,0.0,top
R1,172.75,-60.325,90.0,top
R10,178.2208,-60.2996,0.0,top
R11,187.96,-70.013,270.0,top
R12,176.6824,-77.5314,90.0,top
R13,177.4444,-95.8952,270.0,top
R2,172.75,-57.175,90.0,top
R3,174.075,-53.0,180.0,top
R4,173.5988,-54.8132,180.0,top
R5,178.0,-77.5325,270.0,top
R6,165.925,-92.75,180.0,top
R9,178.2466,-62.2808,0.0,top
SW1,165.0,-51.0,270.0,top
SW2,169.8,-50.95,270.0,top
SW3,165.2344,-97.6504,0.0,top
SW4,170.9748,-97.6504,0.0,top
U1,186.8,-78.5,270.0,top
U2,186.6625,-89.105,90.0,top
U3,173.8875,-63.95,180.0,top
U4,182.5575,-95.9,270.0,top
U5,168.29,-81.36,90.0,top
Y1,188.4,-67.4,180.0,top
